voltage,frequency,load,generation,stress,label
0.9715,49.91,0.3116,0.7419,0.1015,0
0.8604,49.3375,0.4179,0.0328,0.6774,4
1.0037,50.0864,0.5507,0.5517,0.0674,0
0.889,49.2058,1.0641,0.3094,0.6361,2
0.8972,49.5344,1.4613,0.352,0.7436,1
0.8664,49.9264,1.0108,0.2609,0.8892,2
0.9395,51.5172,0.9198,0.417,0.4865,3
0.9727,49.8912,0.3447,0.3479,0.0349,0
0.9928,49.9814,0.6171,0.3976,0.0533,0
0.8772,49.8152,0.55,0.2905,0.7137,2
0.8931,49.2656,1.9937,0.456,0.8228,1
0.8927,49.8984,0.6603,0.1096,0.6262,2
0.8073,50.0218,0.897,0.3154,0.5851,2
0.9775,48.5965,0.4854,0.348,0.6526,3
0.8822,49.5856,0.9085,0.2086,0.8989,2
0.9208,49.0636,1.4283,0.2439,0.851,1
1.0016,51.4747,0.6276,0.3508,0.649,3
1.0108,49.8458,0.6424,0.7505,0.1153,0
0.8123,49.5913,0.8176,0.3861,0.8503,2
0.9069,49.8858,0.8554,0.1319,0.7501,2
0.9231,49.1223,0.8575,0.0809,0.8004,4
0.9602,49.4792,0.6932,0.0168,0.6133,4
0.8263,49.4168,0.8971,0.1236,0.7928,2
1.0287,50.0131,0.2629,0.6959,0.142,0
0.9012,49.6107,1.6539,0.2847,0.8157,1
0.937,49.2793,1.803,0.3494,0.9598,1
0.9445,51.1395,0.7118,0.3381,0.4991,3
1.0125,49.8235,0.2337,0.3188,0.0496,0
0.8786,49.5352,0.5285,0.0198,0.871,4
0.9191,49.1944,0.6838,0.0611,0.4924,4
0.9725,51.823,0.3379,0.5921,0.6908,3
0.9942,49.9357,0.6308,0.4492,0.0285,0
0.9468,51.3014,0.9121,0.2452,0.7636,3
0.8617,49.5217,0.7244,0.0022,0.492,4
0.8933,49.3399,1.5282,0.3604,0.6235,1
0.9303,51.9045,0.8496,0.3711,0.7135,3
0.9294,49.3893,0.5139,0.0327,0.4763,4
0.8573,49.2509,0.4301,0.0715,0.8637,4
0.8689,49.7686,0.4481,0.0279,0.7178,4
0.9123,49.6591,1.7418,0.4316,0.6159,1
0.9952,50.0335,0.4614,0.8608,0.0306,0
0.8263,49.5562,0.9702,0.19,0.6265,2
0.9706,50.0485,0.4815,0.36,0.0806,0
0.8818,49.7466,0.9285,0.1319,0.6163,4
0.9151,49.3803,1.5815,0.5935,0.9228,1
0.8509,49.6537,0.5796,0.0995,0.8725,4
0.9012,49.6228,1.8455,0.2622,0.7127,1
0.9374,49.1425,1.7805,0.3056,0.7954,1
0.9755,49.9694,0.3383,0.3021,0.1157,0
0.8178,49.5977,0.994,0.2683,0.5447,2
0.9236,49.5842,1.7495,0.2592,0.651,1
0.8401,50.0398,1.1805,0.112,0.6431,2
0.9334,49.2476,1.7359,0.5499,0.9895,1
0.9541,49.1657,1.4975,0.52,0.6708,1
0.933,48.4318,0.9516,0.6813,0.7888,3
0.9013,49.5512,1.4649,0.5489,0.9434,1
0.896,49.6429,1.6098,0.5282,0.9485,1
0.8819,49.1352,1.597,0.5457,0.9868,1
0.8386,49.6585,0.9757,0.3531,0.6325,2
0.9769,50.1882,0.2893,0.8775,0.0398,0
1.0058,49.9383,0.5932,0.5618,0.1476,0
0.9931,50.0306,0.3274,0.7253,0.0003,0
0.9324,49.7522,0.8422,0.0296,0.6441,4
0.8685,49.797,0.5872,0.37,0.7028,2
0.9691,48.7207,0.4343,0.599,0.5706,3
0.9292,49.2107,1.7288,0.2002,0.7148,1
1.0243,48.4189,0.6093,0.6054,0.63,3
0.9327,49.1987,1.7983,0.4477,0.6374,1
0.9338,49.1572,1.5195,0.2098,0.6979,1
1.0034,48.592,0.9203,0.5454,0.7233,3
0.9893,51.5529,0.3039,0.6506,0.7465,3
1.0167,49.8875,0.6021,0.7175,0.0697,0
0.8799,49.6787,0.6739,0.1202,0.7504,4
0.9215,49.76,0.9349,0.0919,0.7737,4
0.9012,49.7255,0.6675,0.0239,0.8377,4
0.9611,51.529,0.8361,0.5128,0.682,3
0.8484,49.8422,0.6641,0.2008,0.8572,2
0.9783,49.8925,0.547,0.7239,0.0096,0
0.9697,50.7809,0.883,0.4337,0.7464,3
1.0214,50.1062,0.3902,0.3035,0.0528,0
1.0324,48.5447,0.8233,0.5277,0.6715,3
0.9191,49.1911,1.6914,0.3555,0.8675,1
1.0169,49.1954,0.9865,0.5205,0.8081,3
0.9177,49.0217,0.7856,0.0204,0.6578,4
0.9856,49.9309,0.4273,0.5025,0.1319,0
0.8827,49.9487,0.6766,0.1246,0.5078,2
0.8563,49.7615,0.5345,0.0103,0.8808,4
1.0153,50.1798,0.2997,0.3122,0.0229,0
0.9179,49.0801,1.9687,0.386,0.7025,1
0.8185,49.7465,1.0235,0.1344,0.8277,2
0.8119,49.2231,0.7184,0.3032,0.8833,2
1.043,51.4697,0.8814,0.3457,0.7137,3
0.8935,49.7404,0.5847,0.3952,0.8131,2
0.8586,49.7954,0.5483,0.2943,0.5051,2
1.0287,51.949,0.7449,0.6972,0.7183,3
0.9511,48.8456,0.7311,0.7518,0.7486,3
0.9823,48.3489,0.8962,0.6984,0.439,3
0.9593,51.4934,0.5653,0.2172,0.7829,3
0.919,49.2484,1.555,0.3119,0.8385,1
0.8611,49.665,0.6337,0.1724,0.6626,2
0.941,49.5525,0.7875,0.0736,0.8068,4
0.9877,49.9618,0.3217,0.6984,0.0554,0
0.9137,49.3404,0.8476,0.0496,0.7663,4
0.8337,49.4075,1.0049,0.1947,0.7972,2
0.8953,49.517,1.5659,0.4358,0.9041,1
0.884,49.0804,0.5165,0.0341,0.5307,4
1.0125,49.8506,0.2228,0.3327,0.0438,0
0.931,49.527,1.4616,0.2049,0.7137,1
0.9829,50.7668,0.9587,0.4866,0.77,3
0.989,48.8924,0.4062,0.6867,0.8271,3
1.0296,49.8474,0.5822,0.6638,0.1186,0
0.9421,49.2663,1.9451,0.3189,0.8354,1
0.9666,48.7925,0.8181,0.7686,0.4935,3
0.9012,49.0568,1.5439,0.4208,0.6626,1
0.9841,48.3786,0.462,0.6242,0.7163,3
0.9385,51.0439,0.8539,0.5539,0.7618,3
0.914,49.3812,1.7886,0.5634,0.9307,1
0.9736,50.1171,0.4975,0.7945,0.1382,0
0.9449,48.9097,0.9599,0.5003,0.6222,3
1.0059,50.1558,0.5673,0.6622,0.0039,0
0.957,49.5852,1.7451,0.5803,0.9998,1
0.8634,49.8868,0.6226,0.2557,0.6769,2
0.82,49.7268,0.9443,0.2475,0.5365,2
0.8449,49.489,0.5732,0.1482,0.6647,2
0.9646,49.0576,0.6851,0.4729,0.5415,3
0.8128,49.8953,1.1054,0.3475,0.5005,2
0.9054,49.0434,0.7111,0.0934,0.6743,4
1.0212,51.414,0.9494,0.4629,0.7142,3
0.9717,50.052,0.5997,0.7259,0.0466,0
1.0031,49.8373,0.6961,0.8478,0.0692,0
1.0089,49.8616,0.6663,0.4751,0.1058,0
1.0302,48.3169,0.6859,0.4302,0.8148,3
0.9396,49.1092,0.4419,0.1159,0.8345,4
0.9028,49.657,1.0744,0.1849,0.6194,2
0.9196,49.528,0.9192,0.067,0.668,4
0.8607,49.6891,0.8187,0.1965,0.5755,2
0.9257,49.1635,1.8653,0.2175,0.8979,1
0.9763,49.067,0.9866,0.4972,0.4167,3
0.9658,49.2656,0.4602,0.1268,0.4949,4
0.9318,51.8322,0.979,0.2449,0.7517,3
0.8372,49.8234,0.9549,0.3555,0.8409,2
0.8956,49.2533,0.8312,0.1139,0.8426,4
1.007,49.8939,0.5422,0.4724,0.0341,0
0.996,49.8394,0.5169,0.8235,0.0666,0
0.8994,49.2414,1.0573,0.188,0.6499,2
0.8995,49.2884,1.8091,0.272,0.67,1
0.9545,49.4958,0.5445,0.1369,0.5144,4
1.0065,51.5669,0.9292,0.4792,0.5294,3
0.869,49.3534,0.6073,0.0881,0.7375,4
1.0128,51.0928,0.9996,0.712,0.448,3
0.9986,49.2905,0.5067,0.7868,0.6962,3
0.8009,49.9786,1.0448,0.3921,0.8642,2
1.0299,49.0085,0.4611,0.6812,0.4986,3
0.9297,49.4744,1.8326,0.4637,0.9353,1
1.0242,50.0585,0.3545,0.5645,0.0869,0
0.8872,49.2066,1.8485,0.2703,0.6529,1
0.9552,49.2927,0.7011,0.0409,0.524,4
1.0461,51.8315,0.863,0.481,0.4339,3
0.9488,49.507,1.988,0.5869,0.9218,1
0.8099,49.5551,0.6851,0.1371,0.6474,2
0.8643,49.9402,1.1582,0.1325,0.5935,2
1.0072,50.1773,0.364,0.666,0.0971,0
1.0391,51.2308,0.3978,0.7678,0.537,3
0.9439,51.3988,0.5721,0.4226,0.8272,3
0.9003,49.5938,0.4927,0.0622,0.4946,4
1.0039,48.3637,0.7832,0.3304,0.6001,3
0.9484,49.0695,1.8114,0.4178,0.9911,1
0.8067,49.4483,1.1777,0.3847,0.8297,2
1.0098,50.0567,0.4986,0.3128,0.118,0
0.9591,49.5509,1.5231,0.5319,0.8217,1
0.8759,49.6958,0.5971,0.0221,0.8552,4
0.9866,50.1936,0.6938,0.6241,0.1198,0
1.0097,49.8103,0.2074,0.774,0.0357,0
0.8017,49.4388,0.5887,0.2263,0.5455,2
0.9986,50.1112,0.4566,0.3654,0.0756,0
0.8552,49.6266,0.9202,0.0782,0.6561,4
0.9736,49.9916,0.4008,0.7117,0.0735,0
0.9388,51.4908,0.346,0.365,0.6849,3
0.9355,49.3047,0.7584,0.0442,0.6775,4
0.9419,49.1086,0.7556,0.6614,0.7244,3
0.9144,49.6217,1.6483,0.531,0.7595,1
0.9888,49.925,0.3274,0.8722,0.103,0
0.9381,48.1212,0.3676,0.6433,0.7653,3
0.8572,49.7653,0.737,0.1005,0.6349,4
1.0342,49.2589,0.7203,0.411,0.6601,3
0.8924,49.3375,1.9084,0.34,0.8225,1
1.0158,50.0296,0.6036,0.8071,0.1462,0
0.9236,49.5142,0.4158,0.1394,0.8233,4
0.8032,49.4459,1.0337,0.3765,0.6404,2
0.9496,49.3964,1.6405,0.2567,0.8533,1
0.9755,50.0122,0.3881,0.5722,0.0236,0
0.8794,49.8992,0.8973,0.1255,0.521,2
0.9404,49.0348,1.4489,0.3772,0.7696,1
0.903,49.2185,0.853,0.0171,0.6435,4
0.8746,49.7338,0.8689,0.1925,0.5882,2
0.8566,49.1635,0.9672,0.1151,0.7939,4
