timestamp_min,load,generation,weather
0,0.3546,0.3692,0.0
15,0.3077,0.3708,0.0
30,0.281,0.3931,0.0
45,0.3236,0.3963,0.0
60,0.3103,0.3538,0.0
75,0.3174,0.4077,0.0
90,0.3405,0.3744,0.0
105,0.2833,0.3456,0.0
120,0.3061,0.3973,0.0
135,0.3084,0.3645,0.0
150,0.2758,0.3566,0.0
165,0.2673,0.3765,0.0
180,0.3149,0.3732,0.0
195,0.2629,0.3851,0.0
210,0.2653,0.3836,0.0
225,0.2224,0.3614,0.0
240,0.2953,0.3701,0.0
255,0.3103,0.345,0.7783
270,0.4166,0.3629,0.0
285,0.4806,0.3818,0.0
300,0.4472,0.3489,0.0
315,0.4953,0.4004,0.0
330,0.5276,0.3805,0.0
345,0.6291,0.4292,0.0
360,0.6258,0.4351,0.0
375,0.7373,0.4504,0.0
390,0.7471,0.5101,0.0
405,0.8042,0.4954,0.0
420,0.8109,0.5683,0.0
435,0.9064,0.5635,0.0
450,0.9059,0.6011,0.0
465,0.9571,0.632,0.0
480,1.0223,0.7051,0.0
495,0.9733,0.6889,0.0
510,0.9947,0.7273,0.0
525,0.97,0.7464,0.0
540,0.9767,0.7132,0.0
555,0.9267,0.7985,0.0
570,1.3499,0.798,0.0
585,0.9047,0.8088,0.0
600,0.9082,0.7766,0.0
615,0.8328,0.8348,0.0
630,0.8732,0.8222,0.8943
645,0.9116,0.8195,0.0
660,0.9061,0.8258,0.0
675,0.8959,0.8201,0.0
690,0.9009,0.7933,0.0
705,0.9029,0.811,0.0
720,1.0237,0.7663,0.0
735,1.0045,0.7377,0.0
750,1.0104,0.7618,0.0
765,0.9669,0.7753,0.0
780,0.9784,0.7489,0.9526
795,0.8927,0.709,0.0
810,0.8794,0.6875,0.0
825,0.8295,0.7269,0.0
840,0.8851,0.6228,0.0
855,0.846,0.5936,0.0
870,0.8562,0.6153,0.0
885,0.8862,0.6071,0.0
900,0.9081,0.542,0.0
915,0.9572,0.5046,0.0
930,1.0216,0.4908,0.0
945,1.0294,0.4957,0.0
960,1.1352,0.4302,0.0
975,1.1381,0.4145,0.0
990,1.1532,0.3837,0.0
1005,1.2055,0.3685,0.0
1020,1.2296,0.3387,0.0
1035,1.1585,0.3488,0.0
1050,1.1147,0.3366,0.0
1065,1.1322,0.3929,0.0
1080,1.1051,0.3625,0.0
1095,1.056,0.3503,0.0
1110,0.9784,0.362,0.0
1125,0.9625,0.3625,0.0
1140,0.8996,0.3492,0.0
1155,0.8502,0.3702,0.0
1170,0.8064,0.3805,0.7773
1185,0.8292,0.3777,0.0
1200,1.1405,0.3692,0.0
1215,0.7696,0.3857,0.0
1230,0.6897,0.377,0.0
1245,0.6932,0.3816,0.0
1260,0.6663,0.4089,0.0
1275,0.5984,0.4108,0.0
1290,0.609,0.385,0.0
1305,0.5151,0.3192,0.0
1320,0.4919,0.3607,0.0
1335,0.4885,0.4087,0.0
1350,0.459,0.3395,0.0
1365,0.4056,0.3728,0.0
1380,0.3811,0.3538,0.0
1395,0.3735,0.373,0.0
1410,0.3895,0.3819,0.0
1425,0.3575,0.3559,0.0
1440,0.3309,0.3652,0.0
1455,0.3263,0.3581,0.0
1470,0.4018,0.3591,0.0
1485,0.2813,0.3825,0.0
1500,0.3036,0.3753,0.0
1515,0.2902,0.3504,0.0
1530,0.2902,0.3749,0.0
1545,0.2664,0.3758,0.0
1560,0.339,0.386,0.0
1575,0.2805,0.3721,0.0
1590,0.2535,0.3841,0.0
1605,0.2657,0.369,0.0
1620,0.2557,0.3593,0.0
1635,0.2691,0.3791,0.0
1650,0.2915,0.3428,0.0
1665,0.308,0.3461,0.0
1680,0.2914,0.3448,0.0
1695,0.3309,0.3308,0.0
1710,0.3683,0.3378,0.0
1725,0.3946,0.3438,0.0
1740,0.4717,0.366,0.0
1755,0.4699,0.3841,0.0
1770,0.5489,0.3665,0.0
1785,0.6066,0.4346,0.0
1800,0.63,0.4498,0.0
1815,0.7008,0.4872,0.0
1830,0.7674,0.5017,0.0
