controller,scenario,ablation,metric,n,mean,median,std,min,max,ci95_low,ci95_high
random,A,full_stack,energy_not_served_mwh,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,A,full_stack,total_customer_minutes_interrupted,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,A,full_stack,restoration_rate,10,0.4,0.333333,0.262937,0.0,1.0,0.266667,0.566667
random,A,full_stack,avg_restoration_steps,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,A,full_stack,critical_load_interruption_steps,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,A,full_stack,battery_discharged_total,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,A,full_stack,supercap_discharged_total,10,18.558979,13.607701,16.161886,0.0,49.507904,9.889271,28.767756
random,A,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,E,full_stack,energy_not_served_mwh,10,0.002869,0.0,0.009073,0.0,0.028691,0.0,0.008607
random,E,full_stack,total_customer_minutes_interrupted,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,E,full_stack,restoration_rate,10,0.4,0.333333,0.262937,0.0,1.0,0.266667,0.566667
random,E,full_stack,avg_restoration_steps,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,E,full_stack,critical_load_interruption_steps,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,E,full_stack,battery_discharged_total,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,E,full_stack,supercap_discharged_total,10,46.994804,43.853646,30.663912,11.722844,103.566976,29.941232,65.355296
random,E,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,G,full_stack,energy_not_served_mwh,10,0.003439,0.0,0.010874,0.0,0.034387,0.0,0.010316
random,G,full_stack,total_customer_minutes_interrupted,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,G,full_stack,restoration_rate,10,0.4,0.333333,0.262937,0.0,1.0,0.266667,0.566667
random,G,full_stack,avg_restoration_steps,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,G,full_stack,critical_load_interruption_steps,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,G,full_stack,battery_discharged_total,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,G,full_stack,supercap_discharged_total,10,16.919221,13.272415,13.395964,0.0,39.564844,9.559764,25.219906
random,G,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,H,full_stack,energy_not_served_mwh,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,H,full_stack,total_customer_minutes_interrupted,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,H,full_stack,restoration_rate,10,0.4,0.333333,0.262937,0.0,1.0,0.266667,0.566667
random,H,full_stack,avg_restoration_steps,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,H,full_stack,critical_load_interruption_steps,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,H,full_stack,battery_discharged_total,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,H,full_stack,supercap_discharged_total,10,18.558979,13.607701,16.161886,0.0,49.507904,9.889271,28.767756
random,H,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,J,full_stack,energy_not_served_mwh,10,2.907934,1.983191,3.280536,0.0,9.106346,1.126037,4.937889
random,J,full_stack,total_customer_minutes_interrupted,10,17.05,14.916667,17.304115,0.0,46.0,7.35,27.88375
random,J,full_stack,restoration_rate,10,0.233333,0.25,0.094608,0.083333,0.416667,0.183333,0.291667
random,J,full_stack,avg_restoration_steps,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,J,full_stack,critical_load_interruption_steps,10,102.3,89.5,103.824692,0.0,276.0,44.1,167.3025
random,J,full_stack,battery_discharged_total,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random,J,full_stack,supercap_discharged_total,10,269.948483,263.638627,82.494529,153.95876,417.823962,223.989546,321.068878
random,J,full_stack,voltage_violation_count,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rule_based,A,full_stack,energy_not_served_mwh,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rule_based,A,full_stack,total_customer_minutes_interrupted,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
