stress_level,controller_label,seed,valid,invalid_reason,n_faults,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s,stress_cumulative_unserved_energy,stress_max_unserved_load_mw,stress_cum_unserved_restoration_mw,stress_cum_feasible_restoration_mw,resilience_loss_area,resilience_time_to_50pct_restoration,resilience_time_to_90pct_restoration,stress_critical_load_total_mw,stress_critical_load_interrupted_mw,stress_critical_load_restored_mw,stress_critical_load_restored_pct,stress_restoration_rate,stress_n_faults,stress_n_restored
moderate,persistence,0,True,,5,0.10204081632653061,0.0,105.0,-4.0,50.0,0.0,1.3208,0.0,0.0,24.5853,0,5,1,23,0,0,0,0,0,0.0,1.0,0.513673469387755,2845,5145,0,36.6564,0.0,0.0,0.0,0.5541,0.0004,0.2084,1068.2344641141806,8.63061251781503,0.0,0.0,123.27272898176881,0,0,0.0,1.320831769476317,-1.320831769476317,100.0,0.0,4,0
moderate,persistence,1,True,,5,0.10204081632653061,0.0,115.0,-4.0,50.0,0.0,1.4543,1.4543,100.0,24.2637,0,5,1,18,0,0,0,0,0,0.0,1.0,0.6114285714285714,2663,5635,0,37.4376,0.0,0.0,0.0,0.5581,0.0003,0.2126,931.8381668860583,6.260536786341614,0.0,0.0,148.34648818844505,0,0,0.0,0.0,0.0,100.0,0.0,3,0
moderate,persistence,2,True,,5,0.10204081632653061,0.0,171.0,-4.0,50.0,0.0,1.2648,0.0,0.0,22.6656,0,5,1,25,0,0,0,0,0,0.0,1.0,0.4757142857142857,3560,8379,0,39.7145,0.0,0.0,0.0,0.5231,0.0004,0.1955,802.6813529262313,6.205298057419275,0.0,0.0,128.8546407225719,0,0,0.0,1.264780687862484,-1.264780687862484,100.0,0.0,4,0
moderate,persistence,3,True,,5,0.10204081632653061,0.0,112.0,-4.0,50.0,0.0,1.6933,0.0,0.0,25.4657,0,5,1,30,0,0,0,0,0,0.0,1.0,0.3783673469387755,2090,5488,0,38.6347,0.0,0.0,0.0,0.654,0.0004,0.245,1095.23013528558,12.685180291532221,0.0,0.0,85.8393432426565,0,0,0.0,1.6933241487716446,-1.6933241487716446,100.0,0.0,4,0
moderate,persistence,4,True,,5,0.10204081632653061,0.0,189.0,-4.0,50.0,0.0,1.2962,0.0,0.0,20.5585,0,5,1,33,0,0,0,0,0,0.0,1.0,0.31979591836734694,4870,9261,5,39.1837,0.0,0.0,0.0,0.5262,0.0005,0.1898,1415.7127632983943,9.301076398017697,0.0,0.0,151.70963188622412,0,0,0.0,1.2961832398497108,-1.2961832398497108,100.0,0.0,4,0
moderate,persistence,5,True,,5,0.10204081632653061,0.0,102.0,-4.0,50.0,0.0,1.0168,0.0,0.0,23.8655,0,5,1,25,0,0,0,0,0,0.0,1.0,0.4755102040816327,2425,4998,0,35.4193,0.0,0.0,0.0,0.569,0.0004,0.2176,833.6299756503613,9.512528769523573,0.0,0.0,87.13772411325589,0,0,0.0,1.016758201728665,-1.016758201728665,100.0,0.0,5,0
moderate,persistence,6,True,,5,0.10204081632653061,0.0,155.0,-4.0,50.0,0.0,1.689,0.0,0.0,24.5373,0,5,1,35,0,0,0,0,0,0.0,1.0,0.2808163265306122,3600,7595,0,38.2816,0.0,0.0,0.0,0.5314,0.0004,0.1989,1341.3806379520436,13.1146533924141,0.0,0.0,101.78105904254684,0,0,0.0,1.6890373349364805,-1.6890373349364805,100.0,0.0,4,0
moderate,persistence,7,True,,5,0.10204081632653061,0.0,122.0,-4.0,50.0,0.0,1.2384,1.2384,100.0,22.6279,0,5,1,15,0,0,0,0,0,0.0,1.0,0.669795918367347,2040,5978,0,37.7778,0.0,0.0,0.0,0.5601,0.0004,0.214,495.70518032560153,3.911037320570791,0.0,0.0,126.24519307661743,0,0,0.0,0.0,0.0,100.0,0.0,3,0
moderate,persistence,8,True,,5,0.10204081632653061,0.0,111.0,-4.0,50.0,0.0,1.3596,0.0,0.0,21.8121,0,5,1,30,0,0,0,0,0,0.0,1.0,0.37795918367346937,3475,5439,0,34.1147,0.0,0.0,0.0,0.4943,0.0003,0.1841,884.4545579103501,7.731818410802013,0.0,0.0,113.89153261472018,0,0,0.0,1.359644725692982,-1.359644725692982,100.0,0.0,4,0
moderate,persistence,9,True,,5,0.10204081632653061,0.0,171.0,-4.0,50.0,0.0,1.3991,0.0,0.0,22.7139,0,5,1,21,0,0,0,0,0,0.0,1.0,0.553469387755102,2514,8379,4,40.5547,0.0,0.0,0.0,0.5544,0.0004,0.2108,778.3163085564507,6.625329048676585,0.0,0.0,117.00036372348835,0,0,0.0,1.3990547807783378,-1.3990547807783378,100.0,0.0,4,0
