controller_label,seed,weather_mode,valid,invalid_reason,faults_n,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s
full_stack,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0928,1.0928,100.0,16.7168,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9329,0.0,0.0,0.0,0.24,0.011,0.092
full_stack,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1082,1.1082,100.0,17.1748,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0791,0.0,0.0,0.0,0.16,0.012,0.0605
no_lstm,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0928,1.0928,100.0,16.7168,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9329,0.0,0.0,0.0,0.111,0.013,0.0385
no_lstm,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1082,1.1082,100.0,17.1748,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0791,0.0,0.0,0.0,0.112,0.013,0.0365
no_twin,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0928,1.0928,100.0,16.7168,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9329,0.0,0.0,0.0,1.2093,0.012,0.0563
no_twin,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1082,1.1082,100.0,17.1748,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0791,0.0,0.0,0.0,1.126,0.012,0.04
no_predictive,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0928,1.0928,100.0,16.7168,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9329,0.0,0.0,0.0,0.222,0.013,0.0975
no_predictive,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1082,1.1082,100.0,17.1748,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0791,0.0,0.0,0.0,0.176,0.011,0.0735
no_reward,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0928,1.0928,100.0,16.7168,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9329,0.0,0.0,0.0,0.185,0.013,0.0745
no_reward,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1082,1.1082,100.0,17.1748,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0791,0.0,0.0,0.0,0.202,0.01,0.0824
dqn_core_only,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0928,1.0928,100.0,16.7168,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9329,0.0,0.0,0.0,0.1035,0.01,0.0397
dqn_core_only,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1082,1.1082,100.0,17.1748,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0791,0.0,0.0,0.0,0.096,0.004,0.0375
rule_based,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1092,1.1092,100.0,17.3996,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9717,0.0,0.0,0.0,0.0984,0.0134,0.037
rule_based,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0701,1.0701,100.0,16.9049,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0557,0.0,0.0,0.0,0.086,0.001,0.0395
random,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1092,1.1092,100.0,17.3996,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9717,0.0,0.0,0.0,0.1115,0.0,0.0497
random,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0701,1.0701,100.0,16.9049,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0557,0.0,0.0,0.0,0.085,0.0,0.0345
persistence,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1092,1.1092,100.0,17.3996,0,1,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9717,0.0,0.0,0.0,0.087,0.001,0.036
persistence,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0701,1.0701,100.0,16.9049,0,1,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0557,0.0,0.0,0.0,0.085,0.0,0.034
