stress_level,controller_label,seed,valid,invalid_reason,n_faults,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s,stress_cumulative_unserved_energy,stress_max_unserved_load_mw,stress_cum_unserved_restoration_mw,stress_cum_feasible_restoration_mw,resilience_loss_area,resilience_time_to_50pct_restoration,resilience_time_to_90pct_restoration,stress_critical_load_total_mw,stress_critical_load_interrupted_mw,stress_critical_load_restored_mw,stress_critical_load_restored_pct,stress_restoration_rate,stress_n_faults,stress_n_restored
moderate,persistence,0,True,,5,0.10204081632653061,0.0,105.0,-4.0,50.0,0.0,1.3208,0.0,0.0,24.5853,0,5,1,23,0,0,0,0,0,0.0,1.0,0.513673469387755,2845,5145,0,36.6564,0.0,0.0,0.0,0.4909,0.0003,0.1819,1068.2344641141806,8.63061251781503,0.0,0.0,123.27272898176881,0,0,0.0,1.320831769476317,-1.320831769476317,100.0,0.0,4,0
moderate,random,0,True,,5,0.10204081632653061,0.0,105.0,-4.0,50.0,0.0,1.3208,0.0,0.0,24.5853,0,5,1,23,0,200,0,0,0,0.0,1.0,0.513673469387755,2845,5145,0,36.6564,0.0,0.0,0.0,0.5064,0.0008,0.1875,1068.2344641141806,8.63061251781503,0.0,0.0,123.27272898176881,0,0,0.0,1.320831769476317,-1.320831769476317,100.0,0.0,4,0
moderate,rule_based,0,True,,5,0.10204081632653061,0.0,134.0,-4.0,50.0,0.0,1.1326,1.1326,100.0,20.3241,0,5,1,22,0,200,0,0,0,0.0,1.0,0.5330612244897959,2721,6566,0,36.9338,0.0,0.0,0.0,0.5919,0.0037,0.19,616.1856832215975,4.564628822199227,0.0,9.538224245970264,134.49141052277747,0,0,0.0,1.320831769476317,-1.320831769476317,100.0,0.0,4,0
moderate,dqn_core_only,0,True,,5,0.10204081632653061,0.0,112.0,-4.0,50.0,0.0,1.4288,1.4288,100.0,22.1044,0,5,1,22,0,200,0,0,0,0.0,1.0,0.5330612244897959,2721,5488,0,37.1098,0.0,0.0,0.0,0.7318,0.112,0.2014,668.7324222326033,4.89267684196798,0.0,8.50206983148469,136.1811842924374,0,0,0.0,1.3225284476372645,-1.3225284476372645,100.0,0.0,4,0
moderate,full_stack,0,True,,5,0.10204081632653061,0.0,112.0,-4.0,50.0,0.0,1.4288,1.4288,100.0,22.1044,0,5,1,22,0,200,0,0,0,0.0,1.0,0.5330612244897959,2721,5488,0,37.1098,0.0,0.0,0.0,1.0541,0.3289,0.2173,668.7324222326033,4.89267684196798,0.0,8.50206983148469,136.1811842924374,0,0,0.0,1.3225284476372645,-1.3225284476372645,100.0,0.0,4,0
moderate,no_lstm,0,True,,5,0.10204081632653061,0.0,112.0,-4.0,50.0,0.0,1.4288,1.4288,100.0,22.1044,0,5,1,22,0,200,0,0,0,0.0,1.0,0.5330612244897959,2721,5488,0,37.1098,0.0,0.0,0.0,0.7895,0.1111,0.2066,668.7324222326033,4.89267684196798,0.0,8.50206983148469,136.1811842924374,0,0,0.0,1.3225284476372645,-1.3225284476372645,100.0,0.0,4,0
moderate,no_twin,0,True,,5,0.10204081632653061,0.0,112.0,-4.0,50.0,0.0,1.39,1.39,100.0,22.7608,0,5,1,4,0,200,0,0,0,0.0,1.0,0.8777551020408163,470,5488,0,41.6413,0.0,0.0,0.0,20.1366,0.3826,0.727,141.35002715865556,1.3160224643683252,0.0,0.0,106.94858200769747,0,0,0.0,0.0,0.0,100.0,0.0,4,0
moderate,no_predictive,0,True,,5,0.10204081632653061,0.0,112.0,-4.0,50.0,0.0,1.4288,1.4288,100.0,22.1044,0,5,1,22,0,200,0,0,0,0.0,1.0,0.5330612244897959,2721,5488,0,37.1098,0.0,0.0,0.0,1.2227,0.4418,0.2526,668.7324222326033,4.89267684196798,0.0,8.50206983148469,136.1811842924374,0,0,0.0,1.3225284476372645,-1.3225284476372645,100.0,0.0,4,0
moderate,no_reward,0,True,,5,0.10204081632653061,0.0,112.0,-4.0,50.0,0.0,1.4288,1.4288,100.0,22.1044,0,5,1,22,0,200,0,0,0,0.0,1.0,0.5330612244897959,2721,5488,0,37.1098,0.0,0.0,0.0,1.167,0.3605,0.2417,668.7324222326033,4.89267684196798,0.0,8.50206983148469,136.1811842924374,0,0,0.0,1.3225284476372645,-1.3225284476372645,100.0,0.0,4,0
severe,persistence,0,True,,8,0.16326530612244897,0.0,200.0,-7.0,80.0,0.0,2.5,0.0,0.0,58.8152,0,8,1,43,0,0,0,0,0,0.0,1.0,0.12224489795918368,7439,9800,23,12.464,0.0,0.0,0.0,0.3219,0.0003,0.1009,8255.928656527567,49.121743785275434,0.0,0.0,167.62477084299547,0,0,0.0,2.5,-2.5,100.0,0.0,6,0
