stress_level,controller_label,seed,valid,invalid_reason,n_faults,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s,stress_cumulative_unserved_energy,stress_max_unserved_load_mw,stress_cum_unserved_restoration_mw,stress_cum_feasible_restoration_mw,resilience_loss_area,resilience_time_to_50pct_restoration,resilience_time_to_90pct_restoration,stress_critical_load_total_mw,stress_critical_load_interrupted_mw,stress_critical_load_restored_mw,stress_critical_load_restored_pct,stress_restoration_rate,stress_n_faults,stress_n_restored
moderate,persistence,0,True,,5,0.10204081632653061,0.0,41.0,-4.0,50.0,0.0,1.3105,0.0,0.0,20.8812,0,5,1,23,0,0,0,0,0,0.0,1.0,0.513673469387755,615,2009,0,26.9091,0.0,0.0,0.0,0.1413,0.0001,0.0514,237.4023134518204,8.797376910740248,0.0,0.0,26.485579435841686,0,0,0.0,1.3105284601929443,-1.3105284601929443,100.0,0.0,4,0
moderate,persistence,1,True,,5,0.10204081632653061,0.0,46.0,-4.0,50.0,0.0,1.3495,1.3495,99.99999999999999,19.2966,0,5,1,18,0,0,0,0,0,0.0,1.0,0.6114285714285714,548,2254,0,28.0144,0.0,0.0,0.0,0.1616,0.0001,0.0646,170.05309586961624,5.450788008299003,0.0,0.0,30.697892049865967,0,0,0.0,0.0,0.0,100.0,0.0,3,0
moderate,random,0,True,,5,0.10204081632653061,0.0,41.0,-4.0,50.0,0.0,1.3105,0.0,0.0,20.8812,0,5,1,23,0,50,0,0,0,0.0,1.0,0.513673469387755,615,2009,0,26.9091,0.0,0.0,0.0,0.1388,0.0003,0.0532,237.4023134518204,8.797376910740248,0.0,0.0,26.485579435841686,0,0,0.0,1.3105284601929443,-1.3105284601929443,100.0,0.0,4,0
moderate,random,1,True,,5,0.10204081632653061,0.0,46.0,-4.0,50.0,0.0,1.3495,1.3495,99.99999999999999,19.2966,0,5,1,18,0,50,0,0,0,0.0,1.0,0.6114285714285714,548,2254,0,28.0144,0.0,0.0,0.0,0.1321,0.0002,0.0507,170.05309586961624,5.450788008299003,0.0,0.0,30.697892049865967,0,0,0.0,0.0,0.0,100.0,0.0,3,0
moderate,rule_based,0,True,,5,0.10204081632653061,0.0,41.0,-4.0,50.0,0.0,1.2904,1.2904,100.0,19.113,0,5,1,22,0,50,0,0,0,0.0,1.0,0.5330612244897959,578,2009,0,26.5677,0.0,0.0,0.0,0.1939,0.0022,0.0608,144.20596641995223,5.1518990730320455,0.856763264790132,7.712322497525136,27.490836849814844,0,0,0.0,0.0,0.0,100.0,0.0,4,0
moderate,rule_based,1,True,,5,0.10204081632653061,0.0,46.0,-4.0,50.0,0.0,1.2882,1.2882,100.0,17.9782,0,5,1,18,0,50,0,0,0,0.0,1.0,0.6114285714285714,548,2254,0,27.8206,0.0,0.0,0.0,0.1557,0.0007,0.0496,124.47131297950021,3.925321357207061,0.0,3.9078721273181443,31.20984020224622,0,0,0.0,0.0,0.0,100.0,0.0,3,0
moderate,dqn_core_only,0,True,,5,0.10204081632653061,0.0,42.0,-4.0,50.0,0.0,1.112,1.112,100.0,18.8604,0,5,1,22,0,50,0,0,0,0.0,1.0,0.5330612244897959,578,2058,0,26.4369,0.0,0.0,0.0,0.2712,0.1038,0.052,141.24270745005904,5.157349311174478,0.9127502016039104,7.261260696406933,26.886686246756085,0,0,0.0,0.0,0.0,100.0,0.0,4,0
moderate,dqn_core_only,1,True,,5,0.10204081632653061,0.0,43.0,-4.0,50.0,0.0,1.3405,1.3405,99.99999999999999,18.8609,0,5,1,18,0,50,0,0,0,0.0,1.0,0.6114285714285714,548,2107,0,27.611,0.0,0.0,0.0,0.207,0.035,0.0549,125.50405127952294,4.0455972665302795,0.0,3.6530186720568727,30.522378900102918,0,0,0.0,0.0,0.0,100.0,0.0,3,0
moderate,full_stack,0,True,,5,0.10204081632653061,0.0,42.0,-4.0,50.0,0.0,1.112,1.112,100.0,18.8604,0,5,1,22,0,50,0,0,0,0.0,1.0,0.5330612244897959,578,2058,0,26.4369,0.0,0.0,0.0,0.3283,0.1148,0.0617,141.24270745005904,5.157349311174478,0.9127502016039104,7.261260696406933,26.886686246756085,0,0,0.0,0.0,0.0,100.0,0.0,4,0
moderate,full_stack,1,True,,5,0.10204081632653061,0.0,43.0,-4.0,50.0,0.0,1.3405,1.3405,99.99999999999999,18.8609,0,5,1,18,0,50,0,0,0,0.0,1.0,0.6114285714285714,548,2107,0,27.611,0.0,0.0,0.0,0.3011,0.1048,0.0574,125.50405127952294,4.0455972665302795,0.0,3.6530186720568727,30.522378900102918,0,0,0.0,0.0,0.0,100.0,0.0,3,0
