stress_level,comparison,controller_a,controller_b,outcome_key,outcome_metric,outcome_direction,n_pairs,mean_a,sd_a,median_a,iqr_a,mean_b,sd_b,median_b,iqr_b,ci95_diff_low,ci95_diff_high,paired_abs_diff_mean,paired_abs_diff_median,paired_rel_diff_pct,wilcoxon_stat,wilcoxon_p_raw,t_stat,t_p_raw,cohens_d,cliffs_delta,zero_diff_all,threshold,threshold_kind,threshold_value,wilcoxon_p_holm,t_p_holm
moderate,full_stack vs persistence,full_stack,persistence,PO1_ens,stress_cumulative_unserved_energy,lower,30,469.75547450314025,211.1620804725256,501.2311848337868,391.38835658628955,923.8741900243366,236.54251090664448,909.4330255836899,284.233617704184,-541.223585272131,-367.0138457702617,-454.11871552119635,-394.45061336558945,-48.102502350682286,0.0,1.7343976283205784e-06,-10.662745500761321,1.5090591089567755e-11,-1.9467420785678984,-1.0,False,median reduction >= 5%,rel_pct,5.0,6.937590513282314e-06,6.036236435827102e-11
moderate,full_stack vs persistence,full_stack,persistence,PO2_restoration_time,resilience_time_to_50pct_restoration,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs persistence,full_stack,persistence,PO3_critical_load,stress_critical_load_restored_pct,higher,30,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median improvement >= 2 pp,abs_pp,2.0,1.0,1.0
moderate,full_stack vs persistence,full_stack,persistence,PO4_saidi,saidi,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs random,full_stack,random,PO1_ens,stress_cumulative_unserved_energy,lower,30,469.75547450314025,211.1620804725256,501.2311848337868,391.38835658628955,923.8741900243366,236.54251090664448,909.4330255836899,284.233617704184,-541.223585272131,-367.0138457702617,-454.11871552119635,-394.45061336558945,-48.102502350682286,0.0,1.7343976283205784e-06,-10.662745500761321,1.5090591089567755e-11,-1.9467420785678984,-1.0,False,median reduction >= 5%,rel_pct,5.0,6.937590513282314e-06,6.036236435827102e-11
moderate,full_stack vs random,full_stack,random,PO2_restoration_time,resilience_time_to_50pct_restoration,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs random,full_stack,random,PO3_critical_load,stress_critical_load_restored_pct,higher,30,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median improvement >= 2 pp,abs_pp,2.0,1.0,1.0
moderate,full_stack vs random,full_stack,random,PO4_saidi,saidi,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
moderate,full_stack vs rule_based,full_stack,rule_based,PO1_ens,stress_cumulative_unserved_energy,lower,30,469.75547450314025,211.1620804725256,501.2311848337868,391.38835658628955,452.8180941005191,180.9376774007561,449.7233332133824,320.68525900345696,-11.986848518183255,45.86160932342568,16.937380402621212,-3.398748869835856,-1.0181798467713652,199.0,0.49079849348995086,1.1976406546347784,0.24075455690408862,0.2186582674429074,-0.06666666666666667,False,median reduction >= 5%,rel_pct,5.0,1.0,0.9630182276163545
moderate,full_stack vs rule_based,full_stack,rule_based,PO2_restoration_time,resilience_time_to_50pct_restoration,lower,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,True,median reduction >= 5%,rel_pct,5.0,1.0,1.0
