policy,metric,escalation,n_common_seeds,a_median,b_median,median_abs_change,median_rel_change_pct,wilcoxon_stat,wilcoxon_p
dqn_core_only,ens,A_nominal -> B_moderate,30,30.0,50.0,20.0,66.66666666666666,0.0,4.320463057827488e-08
dqn_core_only,ens,A_nominal -> B_severe,30,30.0,80.0,50.0,166.66666666666669,0.0,6.79884997479191e-08
dqn_core_only,saidi,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
dqn_core_only,saidi,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
dqn_core_only,saifi,A_nominal -> B_moderate,30,0.061224489795918366,0.10204081632653061,0.04081632653061225,66.66666666666667,0.0,4.320463057827488e-08
dqn_core_only,saifi,A_nominal -> B_severe,30,0.061224489795918366,0.16326530612244897,0.1020408163265306,166.66666666666666,0.0,6.79884997479191e-08
dqn_core_only,restoration_time_seconds,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
dqn_core_only,restoration_time_seconds,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
dqn_core_only,critical_load_restored_pct,A_nominal -> B_moderate,30,100.0,0.0,-100.0,-100.0,0.0,1.8022101049184185e-05
dqn_core_only,critical_load_restored_pct,A_nominal -> B_severe,30,100.0,0.0,-100.0,-100.0,0.0,1.975565679194216e-07
dqn_core_only,voltage_violation_count,A_nominal -> B_moderate,30,0.0,2543.5,2543.5,,0.0,1.7343976283205784e-06
dqn_core_only,voltage_violation_count,A_nominal -> B_severe,30,0.0,5863.5,5844.0,,0.0,1.7343976283205784e-06
dqn_core_only,line_overload_count,A_nominal -> B_moderate,30,5.0,0.0,-5.0,,0.0,5.745590380959015e-05
dqn_core_only,line_overload_count,A_nominal -> B_severe,30,5.0,96.0,91.5,,0.0,1.7311263949197286e-06
dqn_core_only,switching_operations,A_nominal -> B_moderate,30,0.0,0.0,0.0,,0.0,1.0
dqn_core_only,switching_operations,A_nominal -> B_severe,30,0.0,0.0,0.0,,0.0,1.0
