stress_level,policy,stress_cumulative_unserved_energy,resilience_loss_area,saidi,saifi,ens,restoration_time_seconds,critical_load_restored_pct,voltage_violation_count,line_overload_count,switching_operations,number_of_islands,isolated_nodes,actions_taken,frequency_deviation_count,average_voltage_pu,minimum_voltage_pu,maximum_voltage_pu,stress_cum_feasible_restoration_mw,stress_cum_unserved_restoration_mw,stress_restoration_rate,stress_n_faults,stress_n_restored,runtime_s,controller_runtime_s,power_flow_runtime_s
moderate,persistence,909.4330255836899,105.51225365334088,0.0,0.10204081632653061,50.0,0.0,0.0,2592.0,0.0,0.0,1.0,25.0,0.0,6051.5,0.4755102040816327,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.55425,0.0004,0.21105
moderate,random,909.4330255836899,105.51225365334088,0.0,0.10204081632653061,50.0,0.0,0.0,2592.0,0.0,0.0,1.0,25.0,200.0,6051.5,0.4755102040816327,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.57185,0.0011,0.21735
moderate,rule_based,449.7233332133824,119.46444003037271,0.0,0.10204081632653061,50.0,0.0,0.0,2502.0,0.0,0.0,1.0,25.0,200.0,8158.5,0.47561224489795917,0.0,1.0,9.609512156241692,0.5212881853767364,0.0,4.0,0.0,0.692,0.0038,0.22710000000000002
moderate,dqn_core_only,501.2311848337868,117.41566544364323,0.0,0.10204081632653061,50.0,0.0,0.0,2543.5,0.0,0.0,1.0,25.0,200.0,8158.5,0.47561224489795917,0.0,1.0,9.685735018049705,0.07978780029829746,0.0,4.0,0.0,0.823,0.12825,0.2325
moderate,full_stack,501.2311848337868,117.41566544364323,0.0,0.10204081632653061,50.0,0.0,0.0,2543.5,0.0,0.0,1.0,25.0,200.0,8158.5,0.47561224489795917,0.0,1.0,9.685735018049705,0.07978780029829746,0.0,4.0,0.0,1.29735,0.4118,0.27275
moderate,no_lstm,501.2311848337868,117.41566544364323,0.0,0.10204081632653061,50.0,0.0,0.0,2543.5,0.0,0.0,1.0,25.0,200.0,8158.5,0.47561224489795917,0.0,1.0,9.685735018049705,0.07978780029829746,0.0,4.0,0.0,1.02495,0.14629999999999999,0.27035
moderate,no_twin,501.2311848337868,117.41566544364323,0.0,0.10204081632653061,50.0,0.0,0.0,2543.5,0.0,0.0,1.0,25.0,200.0,8158.5,0.47561224489795917,0.0,1.0,9.685735018049705,0.07978780029829746,0.0,4.0,0.0,1.12405,0.36975,0.2455
moderate,no_predictive,501.2311848337868,117.41566544364323,0.0,0.10204081632653061,50.0,0.0,0.0,2543.5,0.0,0.0,1.0,25.0,200.0,8158.5,0.47561224489795917,0.0,1.0,9.685735018049705,0.07978780029829746,0.0,4.0,0.0,1.283,0.4071,0.27435
moderate,no_reward,501.2311848337868,117.41566544364323,0.0,0.10204081632653061,50.0,0.0,0.0,2543.5,0.0,0.0,1.0,25.0,200.0,8158.5,0.47561224489795917,0.0,1.0,9.685735018049705,0.07978780029829746,0.0,4.0,0.0,1.25885,0.3887,0.2612
severe,persistence,6223.659891244302,153.27207352734553,0.0,0.16326530612244897,80.0,0.0,0.0,5887.0,101.0,0.0,1.0,38.0,0.0,9800.0,0.22204081632653058,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.55325,0.0005,0.19895000000000002
severe,random,6223.659891244302,153.27207352734553,0.0,0.16326530612244897,80.0,0.0,0.0,5887.0,101.0,0.0,1.0,38.0,200.0,9800.0,0.22204081632653058,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.5239,0.0013,0.1881
severe,rule_based,1309.933995536963,71.37808620783773,0.0,0.16326530612244897,80.0,0.0,0.0,5881.5,97.0,0.0,1.0,38.0,200.0,9800.0,0.22204081632653058,0.0,1.0,7.773149476001379,24.11966339285661,0.0,6.0,0.0,0.62245,0.0037,0.17015
severe,dqn_core_only,1329.7768198597623,73.30621148093866,0.0,0.16326530612244897,80.0,0.0,0.0,5863.5,96.0,0.0,1.0,38.0,200.0,9800.0,0.22204081632653058,0.0,1.0,7.101698663952963,23.751613819198816,0.0,6.0,0.0,0.7281500000000001,0.1212,0.169
severe,full_stack,1329.7768198597623,73.30621148093866,0.0,0.16326530612244897,80.0,0.0,0.0,5863.5,96.0,0.0,1.0,38.0,200.0,9800.0,0.22204081632653058,0.0,1.0,7.101698663952963,23.751613819198816,0.0,6.0,0.0,1.12705,0.3516,0.1982
severe,no_lstm,1329.7768198597623,73.30621148093866,0.0,0.16326530612244897,80.0,0.0,0.0,5863.5,96.0,0.0,1.0,38.0,200.0,9800.0,0.22204081632653058,0.0,1.0,7.101698663952963,23.751613819198816,0.0,6.0,0.0,0.76935,0.11835000000000001,0.1676
severe,no_twin,1329.7768198597623,73.30621148093866,0.0,0.16326530612244897,80.0,0.0,0.0,5863.5,96.0,0.0,1.0,38.0,200.0,9800.0,0.22204081632653058,0.0,1.0,7.101698663952963,23.751613819198816,0.0,6.0,0.0,1.0704,0.36345000000000005,0.19765
severe,no_predictive,1329.7768198597623,73.30621148093866,0.0,0.16326530612244897,80.0,0.0,0.0,5863.5,96.0,0.0,1.0,38.0,200.0,9800.0,0.22204081632653058,0.0,1.0,7.101698663952963,23.751613819198816,0.0,6.0,0.0,1.1064,0.35455000000000003,0.19435
severe,no_reward,1329.7768198597623,73.30621148093866,0.0,0.16326530612244897,80.0,0.0,0.0,5863.5,96.0,0.0,1.0,38.0,200.0,9800.0,0.22204081632653058,0.0,1.0,7.101698663952963,23.751613819198816,0.0,6.0,0.0,1.2541,0.40769999999999995,0.21355000000000002
