stress_level,comparison,outcome,metric,median_full_stack,median_baseline,median_diff,rel_diff_pct,wilcoxon_p_raw,wilcoxon_p_holm,cliffs_delta,cohens_d
moderate,full_stack vs persistence,PO1_ens,stress_cumulative_unserved_energy,501.2311848337868,909.4330255836899,-394.45061336558945,-48.102502350682286,1.7343976283205784e-06,6.937590513282314e-06,-1.0,-1.9467420785678984
moderate,full_stack vs persistence,PO2_restoration_time,resilience_time_to_50pct_restoration,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
moderate,full_stack vs persistence,PO3_critical_load,stress_critical_load_restored_pct,100.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0
moderate,full_stack vs persistence,PO4_saidi,saidi,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
moderate,full_stack vs random,PO1_ens,stress_cumulative_unserved_energy,501.2311848337868,909.4330255836899,-394.45061336558945,-48.102502350682286,1.7343976283205784e-06,6.937590513282314e-06,-1.0,-1.9467420785678984
moderate,full_stack vs random,PO2_restoration_time,resilience_time_to_50pct_restoration,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
moderate,full_stack vs random,PO3_critical_load,stress_critical_load_restored_pct,100.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0
moderate,full_stack vs random,PO4_saidi,saidi,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
moderate,full_stack vs rule_based,PO1_ens,stress_cumulative_unserved_energy,501.2311848337868,449.7233332133824,-3.398748869835856,-1.0181798467713652,0.49079849348995086,1.0,-0.06666666666666667,0.2186582674429074
moderate,full_stack vs rule_based,PO2_restoration_time,resilience_time_to_50pct_restoration,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
moderate,full_stack vs rule_based,PO3_critical_load,stress_critical_load_restored_pct,100.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0
moderate,full_stack vs rule_based,PO4_saidi,saidi,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
moderate,full_stack vs dqn_core_only,PO1_ens,stress_cumulative_unserved_energy,501.2311848337868,501.2311848337868,0.0,0.0,1.0,1.0,0.0,0.0
moderate,full_stack vs dqn_core_only,PO2_restoration_time,resilience_time_to_50pct_restoration,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
moderate,full_stack vs dqn_core_only,PO3_critical_load,stress_critical_load_restored_pct,100.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0
moderate,full_stack vs dqn_core_only,PO4_saidi,saidi,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
severe,full_stack vs persistence,PO1_ens,stress_cumulative_unserved_energy,1329.7768198597623,6223.659891244302,-4786.9457240541215,-78.32570747713925,1.7343976283205784e-06,6.937590513282314e-06,-1.0,-7.738395553721789
severe,full_stack vs persistence,PO2_restoration_time,resilience_time_to_50pct_restoration,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
severe,full_stack vs persistence,PO3_critical_load,stress_critical_load_restored_pct,100.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0
severe,full_stack vs persistence,PO4_saidi,saidi,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
severe,full_stack vs random,PO1_ens,stress_cumulative_unserved_energy,1329.7768198597623,6223.659891244302,-4786.9457240541215,-78.32570747713925,1.7343976283205784e-06,6.937590513282314e-06,-1.0,-7.738395553721789
severe,full_stack vs random,PO2_restoration_time,resilience_time_to_50pct_restoration,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
severe,full_stack vs random,PO3_critical_load,stress_critical_load_restored_pct,100.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0
severe,full_stack vs random,PO4_saidi,saidi,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
severe,full_stack vs rule_based,PO1_ens,stress_cumulative_unserved_energy,1329.7768198597623,1309.933995536963,13.144041657718844,0.7245686268102661,0.1020106952499886,0.4080427809999544,0.06666666666666667,0.21092258237402842
severe,full_stack vs rule_based,PO2_restoration_time,resilience_time_to_50pct_restoration,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
severe,full_stack vs rule_based,PO3_critical_load,stress_critical_load_restored_pct,100.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0
severe,full_stack vs rule_based,PO4_saidi,saidi,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
severe,full_stack vs dqn_core_only,PO1_ens,stress_cumulative_unserved_energy,1329.7768198597623,1329.7768198597623,0.0,0.0,1.0,1.0,0.0,0.0
severe,full_stack vs dqn_core_only,PO2_restoration_time,resilience_time_to_50pct_restoration,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
severe,full_stack vs dqn_core_only,PO3_critical_load,stress_critical_load_restored_pct,100.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0
severe,full_stack vs dqn_core_only,PO4_saidi,saidi,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
