stress_level,comparison,outcome,n,mean_diff,ci95_low,ci95_high,wilcoxon_stat,wilcoxon_p_raw,wilcoxon_p_holm,t_stat,t_p_raw,cliffs_delta,cohens_d
moderate,full_stack vs persistence,PO1_ens,30,-454.11871552119635,-541.223585272131,-367.0138457702617,0.0,1.7343976283205784e-06,6.937590513282314e-06,-10.662745500761321,1.5090591089567755e-11,-1.0,-1.9467420785678984
moderate,full_stack vs persistence,PO2_restoration_time,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
moderate,full_stack vs persistence,PO3_critical_load,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
moderate,full_stack vs persistence,PO4_saidi,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
moderate,full_stack vs random,PO1_ens,30,-454.11871552119635,-541.223585272131,-367.0138457702617,0.0,1.7343976283205784e-06,6.937590513282314e-06,-10.662745500761321,1.5090591089567755e-11,-1.0,-1.9467420785678984
moderate,full_stack vs random,PO2_restoration_time,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
moderate,full_stack vs random,PO3_critical_load,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
moderate,full_stack vs random,PO4_saidi,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
moderate,full_stack vs rule_based,PO1_ens,30,16.937380402621212,-11.986848518183255,45.86160932342568,199.0,0.49079849348995086,1.0,1.1976406546347784,0.24075455690408862,-0.06666666666666667,0.2186582674429074
moderate,full_stack vs rule_based,PO2_restoration_time,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
moderate,full_stack vs rule_based,PO3_critical_load,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
moderate,full_stack vs rule_based,PO4_saidi,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
moderate,full_stack vs dqn_core_only,PO1_ens,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
moderate,full_stack vs dqn_core_only,PO2_restoration_time,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
moderate,full_stack vs dqn_core_only,PO3_critical_load,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
moderate,full_stack vs dqn_core_only,PO4_saidi,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
severe,full_stack vs persistence,PO1_ens,30,-4819.3090704706365,-5051.858514260985,-4586.7596266802875,0.0,1.7343976283205784e-06,6.937590513282314e-06,-42.38493803671104,1.2163047866248245e-27,-1.0,-7.738395553721789
severe,full_stack vs persistence,PO2_restoration_time,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
severe,full_stack vs persistence,PO3_critical_load,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
severe,full_stack vs persistence,PO4_saidi,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
severe,full_stack vs random,PO1_ens,30,-4819.3090704706365,-5051.858514260985,-4586.7596266802875,0.0,1.7343976283205784e-06,6.937590513282314e-06,-42.38493803671104,1.2163047866248245e-27,-1.0,-7.738395553721789
severe,full_stack vs random,PO2_restoration_time,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
severe,full_stack vs random,PO3_critical_load,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
severe,full_stack vs random,PO4_saidi,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
severe,full_stack vs rule_based,PO1_ens,30,87.91147650422613,-67.72233211249227,243.54528512094453,153.0,0.1020106952499886,0.4080427809999544,1.155270562534969,0.25741001101102734,0.06666666666666667,0.21092258237402842
severe,full_stack vs rule_based,PO2_restoration_time,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
severe,full_stack vs rule_based,PO3_critical_load,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
severe,full_stack vs rule_based,PO4_saidi,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
severe,full_stack vs dqn_core_only,PO1_ens,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
severe,full_stack vs dqn_core_only,PO2_restoration_time,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
severe,full_stack vs dqn_core_only,PO3_critical_load,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
severe,full_stack vs dqn_core_only,PO4_saidi,30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
