controller_label,seed,weather_mode,valid,invalid_reason,faults_n,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s
full_stack,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0928,1.0928,100.0,16.7168,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9329,0.0,0.0,0.0,0.3227,0.029,0.1168
full_stack,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1082,1.1082,100.0,17.1748,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0791,0.0,0.0,0.0,0.2149,0.0145,0.0871
no_twin,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0928,1.0928,100.0,16.7168,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9329,0.0,0.0,0.0,1.3621,0.0326,0.1135
no_twin,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1082,1.1082,100.0,17.1748,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0791,0.0,0.0,0.0,1.3821,0.0151,0.1371
no_lstm,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0928,1.0928,100.0,16.7168,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9329,0.0,0.0,0.0,0.1316,0.0096,0.047
no_lstm,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1082,1.1082,100.0,17.1748,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0791,0.0,0.0,0.0,0.2049,0.0129,0.0819
no_predictive,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0928,1.0928,100.0,16.7168,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9329,0.0,0.0,0.0,0.216,0.016,0.0905
no_predictive,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1082,1.1082,100.0,17.1748,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0791,0.0,0.0,0.0,0.2668,0.0126,0.1169
dqn_core_only,0,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.0928,1.0928,100.0,16.7168,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,46.9329,0.0,0.0,0.0,0.136,0.017,0.051
dqn_core_only,1,normal,True,,1,0.02040816326530612,0.0,20.0,0.0,10.0,0.0,1.1082,1.1082,100.0,17.1748,0,1,1,0,0,20,0,0,0,0.95,1.0,0.961428571428572,0,980,0,47.0791,0.0,0.0,0.0,0.1301,0.0186,0.0482
