stress_level,controller_label,seed,valid,invalid_reason,n_faults,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s,stress_cumulative_unserved_energy,stress_max_unserved_load_mw,stress_cum_unserved_restoration_mw,stress_cum_feasible_restoration_mw,resilience_loss_area,resilience_time_to_50pct_restoration,resilience_time_to_90pct_restoration,stress_critical_load_total_mw,stress_critical_load_interrupted_mw,stress_critical_load_restored_mw,stress_critical_load_restored_pct,stress_restoration_rate,stress_n_faults,stress_n_restored
nominal,persistence,0,True,,3,0.061224489795918366,0.0,197.0,-2.0,30.0,0.0,0.8954,0.8954,99.99999999999999,23.3967,0,3,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,9653,0,46.9767,0.0,0.0,0.0,1.4402,0.0,0.6365,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,3,0
nominal,persistence,1,True,,3,0.061224489795918366,0.0,198.0,-2.0,30.0,0.0,1.4157,1.4157,100.00000000000001,23.9305,0,3,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,9702,4,46.7648,0.0,0.0,0.0,1.1144,0.0,0.4825,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,3,0
nominal,persistence,2,True,,3,0.061224489795918366,0.0,196.0,-2.0,30.0,0.0,1.0856,1.0856,100.0,22.9723,0,3,1,1,0,0,0,0,0,0.0,1.0,0.9420408163265311,176,9604,0,46.0815,0.0,0.0,0.0,1.2348,0.0,0.5475,50.02016861636975,0.29239626110683,0.0,0.0,170.5697955816005,0,0,0.0,0.0,0.0,100.0,0.0,3,0
nominal,rule_based,0,True,,3,0.061224489795918366,0.0,197.0,-2.0,30.0,0.0,0.8954,0.8954,99.99999999999999,23.3967,0,3,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,9653,0,46.9767,0.0,0.0,0.0,1.1082,0.015,0.471,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,3,0
nominal,rule_based,1,True,,3,0.061224489795918366,0.0,198.0,-2.0,30.0,0.0,1.4157,1.4157,100.00000000000001,23.9305,0,3,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,9702,4,46.7648,0.0,0.0,0.0,1.1691,0.001,0.5066,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,3,0
nominal,rule_based,2,True,,3,0.061224489795918366,0.0,196.0,-2.0,30.0,0.0,1.0856,1.0856,100.0,22.9723,0,3,1,1,0,200,0,0,0,0.0,1.0,0.9420408163265311,176,9604,0,46.0815,0.0,0.0,0.0,1.1154,0.0091,0.4784,50.02016861636975,0.29239626110683,0.0,0.0,170.5697955816005,0,0,0.0,0.0,0.0,100.0,0.0,3,0
nominal,full_stack,0,True,,3,0.061224489795918366,0.0,192.0,-2.0,30.0,0.0,0.8196,0.8196,100.0,25.1396,0,3,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,9408,0,46.9789,0.0,0.0,0.0,1.716,0.2309,0.6014,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,3,0
nominal,full_stack,1,True,,3,0.061224489795918366,0.0,200.0,-2.0,30.0,0.0,0.793,0.793,100.0,22.8499,0,3,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,9800,3,46.6688,0.0,0.0,0.0,1.6486,0.1474,0.6076,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,3,0
nominal,full_stack,2,True,,3,0.061224489795918366,0.0,189.0,-2.0,30.0,0.0,1.096,1.096,100.0,23.738,0,3,1,1,0,200,0,0,0,0.0,1.0,0.9420408163265311,176,9261,0,45.518,0.0,0.0,0.0,1.8057,0.1358,0.6847,50.52421646895479,0.2949196839053078,0.0,0.0,170.81517232053267,0,0,0.0,0.0,0.0,100.0,0.0,3,0
moderate,persistence,0,True,,5,0.10204081632653061,0.0,104.0,-4.0,50.0,0.0,1.109,1.109,100.0,24.0674,0,5,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,5096,0,40.934,0.0,0.0,0.0,1.3385,0.0,0.5847,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
