controller_label,seed,weather_mode,valid,invalid_reason,faults_n,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s
random,0,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.148,1.148,100.0,20.4473,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.7735,0.0,0.0,0.0,0.1908,0.001,0.064
random,1,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1738,1.1738,100.0,20.5253,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,4,51.6035,0.0,0.0,0.0,0.1684,0.0,0.0724
random,2,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.0831,1.0831,100.0,20.2654,0,2,1,0,0,30,0,0,0,0.0,1.0,0.9420408163265311,24,1470,0,49.4951,0.0,0.0,0.0,0.1474,0.0,0.0636
random,3,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1995,1.1995,100.0,21.1925,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.3798,0.0,0.0,0.0,0.1636,0.002,0.0708
random,4,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,0.8756,0.8756,100.0,20.384,0,2,1,0,0,30,0,0,0,0.95,1.0,0.961428571428572,0,1470,8,56.2369,0.0,0.0,0.0,0.1469,0.001,0.0644
persistence,0,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.148,1.148,100.0,20.4473,0,2,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.7735,0.0,0.0,0.0,0.1514,0.0,0.0667
persistence,1,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1738,1.1738,100.0,20.5253,0,2,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,1470,4,51.6035,0.0,0.0,0.0,0.15,0.0,0.0643
persistence,2,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.0831,1.0831,100.0,20.2654,0,2,1,0,0,0,0,0,0,0.0,1.0,0.9420408163265311,24,1470,0,49.4951,0.0,0.0,0.0,0.1539,0.0,0.0659
persistence,3,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,1.1995,1.1995,100.0,21.1925,0,2,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,1470,0,51.3798,0.0,0.0,0.0,0.1513,0.0,0.0661
persistence,4,normal,True,,2,0.04081632653061224,0.0,30.0,-1.0,20.0,0.0,0.8756,0.8756,100.0,20.384,0,2,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,1470,8,56.2369,0.0,0.0,0.0,0.1672,0.0,0.073
