controller_label,seed,weather_mode,valid,invalid_reason,faults_n,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s
random,0,normal,True,,3,0.061224489795918366,0.0,197.0,-2.0,30.0,0.0,0.8954,0.8954,99.99999999999999,23.3967,0,3,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,9653,0,46.9767,0.0,0.0,0.0,1.4445,0.0,0.6448
random,1,normal,True,,3,0.061224489795918366,0.0,198.0,-2.0,30.0,0.0,1.4157,1.4157,100.00000000000001,23.9305,0,3,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,9702,4,46.7648,0.0,0.0,0.0,1.2952,0.002,0.5687
random,2,normal,True,,3,0.061224489795918366,0.0,164.0,-2.0,30.0,0.0,1.2082,1.2082,100.0,26.7407,0,3,1,0,0,200,0,0,0,0.0,1.0,0.9420408163265311,181,8036,0,45.171,0.0,0.0,0.0,2.8936,0.0,1.3156
random,3,normal,True,,3,0.061224489795918366,0.0,195.0,-2.0,30.0,0.0,1.2054,1.2054,100.0,24.42,0,3,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,9555,0,47.1146,0.0,0.0,0.0,1.3021,0.002,0.567
random,4,normal,True,,3,0.061224489795918366,0.0,200.0,-2.0,30.0,0.0,1.1177,1.1177,100.0,24.5651,0,3,1,0,0,200,0,0,0,0.0,1.0,0.9420408163265311,156,9800,8,50.1302,0.0,0.0,0.0,1.0241,0.0,0.4454
random,5,normal,True,,3,0.061224489795918366,0.0,177.0,-2.0,30.0,0.0,0.8262,0.8262,100.0,25.2934,0,3,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,8673,0,45.504,0.0,0.0,0.0,1.044,0.002,0.4513
random,6,normal,True,,3,0.061224489795918366,0.0,200.0,-2.0,30.0,0.0,1.2152,1.2152,100.0,23.8939,0,3,1,0,0,200,0,0,0,0.0,1.0,0.9420408163265311,49,9800,6,49.3847,0.0,0.0,0.0,0.9944,0.002,0.4322
random,7,normal,True,,3,0.061224489795918366,0.0,200.0,-2.0,30.0,0.0,1.2533,1.2533,100.0,23.0761,0,3,1,0,0,200,0,0,0,0.0,1.0,0.9420408163265311,58,9800,6,47.3772,0.0,0.0,0.0,1.0081,0.0,0.4366
random,8,normal,True,,3,0.061224489795918366,0.0,199.0,-2.0,30.0,0.0,1.1795,1.1795,100.0,23.5746,0,3,1,0,0,200,0,0,0,0.0,1.0,0.9420408163265311,184,9751,0,46.2481,0.0,0.0,0.0,1.111,0.002,0.4854
random,9,normal,True,,3,0.061224489795918366,0.0,200.0,-2.0,30.0,0.0,0.6889,0.6889,100.0,23.7389,0,3,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,9800,24,50.2661,0.0,0.0,0.0,0.9909,0.0,0.4255
random,10,normal,True,,3,0.061224489795918366,0.0,200.0,-2.0,30.0,0.0,0.8649,0.8649,100.0,23.4849,0,3,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,9800,7,50.5398,0.0,0.0,0.0,1.0846,0.002,0.4688
random,11,normal,True,,3,0.061224489795918366,0.0,200.0,-2.0,30.0,0.0,0.765,0.765,99.99999999999999,22.524,0,3,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,9800,10,49.4957,0.0,0.0,0.0,1.0123,0.005,0.4398
random,12,normal,True,,3,0.061224489795918366,0.0,200.0,-2.0,30.0,0.0,0.5263,0.5263,100.0,21.3008,0,3,1,0,0,200,0,0,0,0.95,1.0,0.961428571428572,0,9800,2,48.4296,0.0,0.0,0.0,1.0297,0.001,0.4475
