controller_label,seed,weather_mode,n_faults,n_restored,restoration_rate,avg_restoration_steps,voltage_violation_count,critical_load_interruption_steps,energy_not_served_mwh,customer_minutes_interrupted,n_steps,valid
random,0,normal,3,0,0.0,,0,0,0.4361007741126914,26.166046446761463,60,True
rule_based,0,normal,3,0,0.0,,0,0,0.4353018628776779,26.11811177266068,60,True
random,1,normal,3,0,0.0,,0,0,2.011533262220982,120.691995733259,60,True
rule_based,1,normal,3,0,0.0,,0,0,1.7810970391368024,106.86582234820817,60,True
random,2,normal,3,0,0.0,,0,0,0.9148562799070581,54.89137679442331,60,True
rule_based,2,normal,3,0,0.0,,0,0,1.1126105471068541,66.75663282641136,60,True
random,3,normal,3,0,0.0,,0,0,1.3435104398082616,80.61062638849556,60,True
rule_based,3,normal,3,0,0.0,,0,0,2.2710729354716293,136.2643761282979,60,True
random,4,normal,3,0,0.0,,0,0,1.1664898632787575,69.98939179672543,60,True
rule_based,4,normal,3,0,0.0,,0,0,1.1586964731192613,69.5217883871556,60,True
random,5,normal,3,0,0.0,,0,0,0.4884947363193796,29.30968417916277,60,True
rule_based,5,normal,3,0,0.0,,0,0,0.9150379588341279,54.902277530047705,60,True
random,6,normal,3,0,0.0,,0,0,1.274481928598297,76.4689157158979,60,True
rule_based,6,normal,3,0,0.0,,0,0,1.7430206576356466,104.58123945813874,60,True
random,7,normal,3,0,0.0,,0,0,0.5676688733721311,34.060132402327845,60,True
rule_based,7,normal,3,0,0.0,,0,0,0.6209916057232917,37.259496343397515,60,True
random,8,normal,3,0,0.0,,0,0,1.4198423356570808,85.1905401394246,60,True
rule_based,8,normal,3,0,0.0,,0,0,1.5841212293787075,95.04727376272272,60,True
random,9,normal,3,0,0.0,,0,0,0.3562326759231262,21.37396055538759,60,True
rule_based,9,normal,3,0,0.0,,0,0,0.2950119382403066,17.700716294418413,60,True
