controller_label,seed,weather_mode,valid,invalid_reason,faults_n,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s
random,0,normal,True,,1,0.02040816326530612,0.0,15.0,0.0,10.0,0.0,1.1566,1.1566,100.0,20.4028,0,1,1,0,0,15,0,0,0,0.95,1.0,0.9614285714285714,0,735,0,37.7626,0.0,0.0,0.0,0.0425,0.0,0.0149
random,1,normal,True,,1,0.02040816326530612,0.0,15.0,0.0,10.0,0.0,1.054,1.054,100.0,20.2399,0,1,1,0,0,15,0,0,0,0.95,1.0,0.9614285714285714,0,735,0,38.3622,0.0,0.0,0.0,0.0383,0.0,0.0148
rule_based,0,normal,True,,1,0.02040816326530612,0.0,15.0,0.0,10.0,0.0,1.1566,1.1566,100.0,20.4028,0,1,1,0,0,15,0,0,0,0.95,1.0,0.9614285714285714,0,735,0,37.7626,0.0,0.0,0.0,0.0641,0.0111,0.0211
rule_based,1,normal,True,,1,0.02040816326530612,0.0,15.0,0.0,10.0,0.0,1.054,1.054,100.0,20.2399,0,1,1,0,0,15,0,0,0,0.95,1.0,0.9614285714285714,0,735,0,38.3622,0.0,0.0,0.0,0.045,0.0002,0.0181
full_stack,0,normal,True,,1,0.02040816326530612,0.0,15.0,0.0,10.0,0.0,1.0579,1.0579,100.0,19.8491,0,1,1,0,0,15,0,0,0,0.95,1.0,0.9614285714285714,0,735,0,37.4937,0.0,0.0,0.0,0.1603,0.1085,0.0186
full_stack,1,normal,True,,1,0.02040816326530612,0.0,15.0,0.0,10.0,0.0,1.1783,1.1783,100.0,20.3435,0,1,1,0,0,15,0,0,0,0.95,1.0,0.9614285714285714,0,735,0,38.2654,0.0,0.0,0.0,0.0569,0.0092,0.0185
no_lstm,0,normal,True,,1,0.02040816326530612,0.0,15.0,0.0,10.0,0.0,1.0579,1.0579,100.0,19.8491,0,1,1,0,0,15,0,0,0,0.95,1.0,0.9614285714285714,0,735,0,37.4937,0.0,0.0,0.0,0.053,0.0074,0.0182
no_lstm,1,normal,True,,1,0.02040816326530612,0.0,15.0,0.0,10.0,0.0,1.1783,1.1783,100.0,20.3435,0,1,1,0,0,15,0,0,0,0.95,1.0,0.9614285714285714,0,735,0,38.2654,0.0,0.0,0.0,0.0502,0.0074,0.0169
no_predictive,0,normal,True,,1,0.02040816326530612,0.0,15.0,0.0,10.0,0.0,1.0579,1.0579,100.0,19.8491,0,1,1,0,0,15,0,0,0,0.95,1.0,0.9614285714285714,0,735,0,37.4937,0.0,0.0,0.0,0.0538,0.0076,0.0184
no_predictive,1,normal,True,,1,0.02040816326530612,0.0,15.0,0.0,10.0,0.0,1.1783,1.1783,100.0,20.3435,0,1,1,0,0,15,0,0,0,0.95,1.0,0.9614285714285714,0,735,0,38.2654,0.0,0.0,0.0,0.0474,0.0065,0.0163
dqn_core_only,0,normal,True,,1,0.02040816326530612,0.0,15.0,0.0,10.0,0.0,1.0579,1.0579,100.0,19.8491,0,1,1,0,0,15,0,0,0,0.95,1.0,0.9614285714285714,0,735,0,37.4937,0.0,0.0,0.0,0.0577,0.0076,0.0198
dqn_core_only,1,normal,True,,1,0.02040816326530612,0.0,15.0,0.0,10.0,0.0,1.1783,1.1783,100.0,20.3435,0,1,1,0,0,15,0,0,0,0.95,1.0,0.9614285714285714,0,735,0,38.2654,0.0,0.0,0.0,0.0482,0.0073,0.0163
