# per_policy_summary
controller_label,n_valid_runs,active_modules,disabled_modules,metric,n,mean,std,median,min,max,ci95_low,ci95_high
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,saifi,3,0.020408,0.000000,0.020408,0.020408,0.020408,0.020408,0.020408
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,saidi,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,maifi,3,20.000000,0.000000,20.000000,20.000000,20.000000,20.000000,20.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,asai,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,ens,3,10.000000,0.000000,10.000000,10.000000,10.000000,10.000000,10.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,restoration_time_steps,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,critical_load_restored_pct,3,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,successful_restoration_count,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,number_of_islands,3,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,isolated_nodes,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,actions_taken,3,20.000000,0.000000,20.000000,20.000000,20.000000,20.000000,20.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,switching_operations,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,illegal_actions_attempted,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,load_shedding_events,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,battery_dispatch_events,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,voltage_violation_count,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,frequency_deviation_count,3,980.000000,0.000000,980.000000,980.000000,980.000000,980.000000,980.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,line_overload_count,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,minimum_voltage_pu,3,0.950000,0.000000,0.950000,0.950000,0.950000,0.950000,0.950000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,maximum_voltage_pu,3,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,average_voltage_pu,3,0.961429,0.000000,0.961429,0.961429,0.961429,0.961429,0.961429
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,operating_cost_usd,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,outage_cost_usd,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,carbon_kg,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,3,,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,runtime_s,3,0.054433,0.003585,0.056300,0.050300,0.056700,0.050376,0.058490
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,saifi,3,0.020408,0.000000,0.020408,0.020408,0.020408,0.020408,0.020408
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,saidi,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,maifi,3,20.000000,0.000000,20.000000,20.000000,20.000000,20.000000,20.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,asai,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,ens,3,10.000000,0.000000,10.000000,10.000000,10.000000,10.000000,10.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,restoration_time_steps,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,critical_load_restored_pct,3,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,successful_restoration_count,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,number_of_islands,3,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,isolated_nodes,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,actions_taken,3,20.000000,0.000000,20.000000,20.000000,20.000000,20.000000,20.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,switching_operations,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,illegal_actions_attempted,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,load_shedding_events,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,battery_dispatch_events,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,voltage_violation_count,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,frequency_deviation_count,3,980.000000,0.000000,980.000000,980.000000,980.000000,980.000000,980.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,line_overload_count,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,minimum_voltage_pu,3,0.950000,0.000000,0.950000,0.950000,0.950000,0.950000,0.950000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,maximum_voltage_pu,3,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,average_voltage_pu,3,0.961429,0.000000,0.961429,0.961429,0.961429,0.961429,0.961429
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,operating_cost_usd,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,outage_cost_usd,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,carbon_kg,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,3,flisr,dqn;lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,runtime_s,3,0.056167,0.002888,0.054600,0.054400,0.059500,0.052898,0.059435

# paired_comparison
anchor,other,metric,n,valid,reason,mean_difference,std_difference,ci95_low,ci95_high,t_statistic,t_p_value,wilcoxon_W,wilcoxon_p,effect_size,effect_label,significant_at_005
rule_based,random,saifi,3,True,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,negligible,False
rule_based,random,saidi,3,True,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,negligible,False
rule_based,random,maifi,3,True,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,negligible,False
rule_based,random,asai,3,True,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,negligible,False
rule_based,random,ens,3,True,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,negligible,False
rule_based,random,restoration_time_steps,0,False,n<2; cannot compute paired test,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,,False
rule_based,random,critical_load_restored_pct,3,True,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,negligible,False
rule_based,random,successful_restoration_count,3,True,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,negligible,False
rule_based,random,number_of_islands,3,True,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,negligible,False
rule_based,random,isolated_nodes,3,True,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,negligible,False
rule_based,random,actions_taken,3,True,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,negligible,False
rule_based,random,switching_operations,3,True,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,negligible,False
rule_based,random,illegal_actions_attempted,3,True,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,negligible,False
rule_based,random,load_shedding_events,3,True,,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,negligible,False
