controller,metric,n,mean,std,median,min,max,ci95_low,ci95_high
dqn_core_only,n_faults,20,3.000000,0.000000,3.000000,3.000000,3.000000,3.000000,3.000000
dqn_core_only,n_restored,20,2.850000,0.366348,3.000000,2.000000,3.000000,2.689441,3.010559
dqn_core_only,restoration_rate,20,0.950000,0.122116,1.000000,0.666667,1.000000,0.896480,1.003520
dqn_core_only,avg_restoration_steps,20,4.800000,0.881254,4.666667,4.000000,7.000000,4.413774,5.186226
dqn_core_only,actions_taken,20,80.000000,0.000000,80.000000,80.000000,80.000000,80.000000,80.000000
dqn_core_only,voltage_violation_count,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dqn_core_only,critical_load_interruption_steps,20,0.500000,1.051315,0.000000,0.000000,3.000000,0.039241,0.960759
dqn_core_only,total_customer_minutes_interrupted,20,44.476010,33.045779,37.093735,7.789884,123.661051,29.993059,58.958961
dqn_core_only,energy_not_served_mwh,20,0.741267,0.550763,0.618229,0.129831,2.061018,0.499884,0.982649
dqn_core_only,n_steps,20,80.000000,0.000000,80.000000,80.000000,80.000000,80.000000,80.000000
full_stack,n_faults,20,3.000000,0.000000,3.000000,3.000000,3.000000,3.000000,3.000000
full_stack,n_restored,20,2.850000,0.366348,3.000000,2.000000,3.000000,2.689441,3.010559
full_stack,restoration_rate,20,0.950000,0.122116,1.000000,0.666667,1.000000,0.896480,1.003520
full_stack,avg_restoration_steps,20,4.800000,0.881254,4.666667,4.000000,7.000000,4.413774,5.186226
full_stack,actions_taken,20,80.000000,0.000000,80.000000,80.000000,80.000000,80.000000,80.000000
full_stack,voltage_violation_count,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
full_stack,critical_load_interruption_steps,20,0.500000,1.051315,0.000000,0.000000,3.000000,0.039241,0.960759
full_stack,total_customer_minutes_interrupted,20,80.637256,46.189843,81.249277,25.253562,181.243154,60.393665,100.880847
full_stack,energy_not_served_mwh,20,1.343954,0.769831,1.354155,0.420893,3.020719,1.006561,1.681347
full_stack,n_steps,20,80.000000,0.000000,80.000000,80.000000,80.000000,80.000000,80.000000
random,n_faults,20,3.000000,0.000000,3.000000,3.000000,3.000000,3.000000,3.000000
random,n_restored,20,2.850000,0.366348,3.000000,2.000000,3.000000,2.689441,3.010559
random,restoration_rate,20,0.950000,0.122116,1.000000,0.666667,1.000000,0.896480,1.003520
random,avg_restoration_steps,20,4.800000,0.881254,4.666667,4.000000,7.000000,4.413774,5.186226
random,actions_taken,20,80.000000,0.000000,80.000000,80.000000,80.000000,80.000000,80.000000
random,voltage_violation_count,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
random,critical_load_interruption_steps,20,0.500000,1.051315,0.000000,0.000000,3.000000,0.039241,0.960759
random,total_customer_minutes_interrupted,20,80.598335,43.538430,86.373621,21.396986,159.576607,61.516777,99.679894
random,energy_not_served_mwh,20,1.343306,0.725640,1.439560,0.356616,2.659610,1.025280,1.661332
random,n_steps,20,80.000000,0.000000,80.000000,80.000000,80.000000,80.000000,80.000000
rule_based,n_faults,20,3.000000,0.000000,3.000000,3.000000,3.000000,3.000000,3.000000
rule_based,n_restored,20,2.850000,0.366348,3.000000,2.000000,3.000000,2.689441,3.010559
rule_based,restoration_rate,20,0.950000,0.122116,1.000000,0.666667,1.000000,0.896480,1.003520
rule_based,avg_restoration_steps,20,4.800000,0.881254,4.666667,4.000000,7.000000,4.413774,5.186226
rule_based,actions_taken,20,80.000000,0.000000,80.000000,80.000000,80.000000,80.000000,80.000000
rule_based,voltage_violation_count,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
rule_based,critical_load_interruption_steps,20,0.500000,1.051315,0.000000,0.000000,3.000000,0.039241,0.960759
rule_based,total_customer_minutes_interrupted,20,81.293410,43.373369,79.724108,19.032855,155.788413,62.284192,100.302627
rule_based,energy_not_served_mwh,20,1.354890,0.722889,1.328735,0.317214,2.596474,1.038070,1.671710
rule_based,n_steps,20,80.000000,0.000000,80.000000,80.000000,80.000000,80.000000,80.000000
